P123-1	114023	16551	110164	36	8238
P1243	6	6	6	1	1
P1243-1	6	6	6	1	1
P1258	1	1	1	1	1
P1258-1	1	1	1	1	1
P126	34913	32697	1469	1942	19
P126-1	34913	1469	32697	19	1942
P1264	68	55	48	7	6
P1264-1	68	48	55	6	7
P1268	938	894	865	9	10
P1268-1	938	865	894	10	9
P1269	41477	34617	8853	734	7
P1269-1	41477	8853	34617	7	734
P127	134431	122416	22049	10308	25
P127-1	134431	22049	122416	25	10308
P1278	22	22	22	1	1
P1278-1	22	22	22	1	1
P128	326885	12848	17375	337	1518
P128-1	326885	17375	12848	1518	337
P1283	413	391	413	1	5
P1283-1	413	413	391	5	1
P129	8091	2330	2331	91	92
P129-1	8091	2331	2330	92	91
P1290	122	95	122	1	12
P1290-1	122	122	95	12	1
P1299	1089	837	1018	20	15
P1299-1	1089	1018	837	15	20
P1302	1784	547	1230	9	26
P1302-1	1784	1230	547	26	9
P1303	59784	51155	534	15563	30
P1303-1	59784	534	51155	30	15563
P1304	69	68	69	1	2
P1304-1	69	69	68	2	1
P1308	1696	1241	1567	16	90
P1308-1	1696	1567	1241	90	16
P131	5934249	5567839	297641	48884	150
P131-1	5934249	297641	5567839	150	48884
P1310	2	2	2	1	1
P1310-1	2	2	2	1	1
P1312	1018	594	100	217	4
P1312-1	1018	100	594	4	217
P1313	14327	14308	9227	2735	5
P1313-1	14327	9227	14308	5	2735
P1318	67	52	61	4	4
P1318-1	67	61	52	4	4
P1321	1844	1515	924	86	4
P1321-1	1844	924	1515	4	86
P1322	313	312	311	2	2
P1322-1	313	311	312	2	2
P1324	8	8	7	2	1
P1324-1	8	7	8	1	2
P1325	1	1	1	1	1
P1325-1	1	1	1	1	1
P1327	3909	2912	3016	5	9
P1327-1	3909	3016	2912	9	5
P1336	780	656	81	406	9
P1336-1	780	81	656	9	406
P134	566	188	560	3	40
P134-1	566	560	188	40	3
P1340	4346	4265	31	1604	3
P1340-1	4346	31	4265	3	1604
P1343	348129	234043	41487	27233	76
P1343-1	348129	41487	234043	76	27233
P1344	340676	167620	29015	10404	290
P1344-1	340676	29015	167620	290	10404
P1346	63237	23122	27598	219	413
P1346-1	63237	27598	23122	413	219
P1347	648	644	9	517	2
P1347-1	648	9	644	2	517
P1349	5	4	2	3	2
P1349-1	5	2	4	2	3
P135	43742	41937	1449	19750	16
P135-1	43742	1449	41937	16	19750
P136	725023	597308	6067	34938	21
P136-1	725023	6067	597308	21	34938
P1363	365	150	301	6	8
P1363-1	365	301	150	8	6
P1365	15596	10913	14719	14	23
P1365-1	15596	14719	10913	23	14
P1366	17881	16690	12538	63	15
P1366-1	17881	12538	16690	15	63
P137	107154	98171	10468	10470	66
P137-1	107154	10468	98171	66	10470
P1372	27	15	19	9	9
P1372-1	27	19	15	9	9
P1376	52291	47246	52029	6	28
P1376-1	52291	52029	47246	28	6
P1377	1	1	1	1	1
P1377-1	1	1	1	1	1
P138	163273	154813	74156	873	10
P138-1	163273	74156	154813	10	873
P1382	7118	4147	4372	91	91
P1382-1	7118	4372	4147	91	91
P1383	23940	5182	23406	4	109
P1383-1	23940	23406	5182	109	4
P1387	1362	1274	142	211	6
P1387-1	1362	142	1274	6	211
P1389	3200	3135	20	2263	3
P1389-1	3200	20	3135	3	2263
P1393	20	11	20	1	7
P1393-1	20	20	11	7	1
P1398	255	242	253	2	7
P1398-1	255	253	242	7	2
P1399	4973	4457	322	2389	9
P1399-1	4973	322	4457	9	2389
P14	146	146	146	1	1
P14-1	146	146	146	1	1
P140	138216	135544	863	46796	13
P140-1	138216	863	135544	13	46796
P1403	8004	8004	5812	5	1
P1403-1	8004	5812	8004	1	5
P1406	17	14	6	9	3
P1406-1	17	6	14	3	9
P1408	5445	5403	3145	35	4
P1408-1	5445	3145	5403	4	35
P141	90250	90250	8	43833	1
P141-1	90250	8	90250	1	43833
P1411	35532	18929	2138	1032	84
P1411-1	35532	2138	18929	84	1032
P1412	660082	613119	928	133089	30
P1412-1	660082	928	613119	30	133089
P1414	1222	1064	96	472	9
P1414-1	1222	96	1064	9	472
P1416	12701	11436	2303	1703	13
P1416-1	12701	2303	11436	13	1703
P1417	248	246	247	2	2
P1417-1	248	247	246	2	2
P1419	472	447	194	59	4
P1419-1	472	194	447	4	59
P1420	5112	4475	4983	6	17
P1420-1	5112	4983	4475	17	6
P1423	8406	8293	7979	22	4
P1423-1	8406	7979	8293	4	22
P1424	8167	7785	8055	4	20
P1424-1	8167	8055	7785	20	4
P1425	4	4	4	1	1
P1425-1	4	4	4	1	1
P1427	13338	13285	3667	669	7
P1427-1	13338	3667	13285	7	669
P1429	129	107	116	4	6
P1429-1	129	116	107	6	4
P1431	6268	4890	3191	255	10
P1431-1	6268	3191	4890	10	255
P1432	336	333	325	2	3
P1432-1	336	325	333	3	2
P1433	17985957	17978548	36586	200037	21
P1433-1	17985957	36586	17978548	21	200037
P1434	2248	2237	125	900	2
P1434-1	2248	125	2237	2	900
P1435	1591769	1576896	553	371030	7
P1435-1	1591769	553	1576896	7	371030
P144	20692	19216	12849	146	17
P144-1	20692	12849	19216	17	146
P1441	50795	37365	8390	554	155
P1441-1	50795	8390	37365	155	554
P1442	11	11	11	1	1
P1442-1	11	11	11	1	1
P1444	7564	7492	3340	124	22
P1444-1	7564	3340	7492	22	124
P1445	1489	127	1484	2	622
